order	date	amount	year	monthtext	monthnum
1	2003-Oct	40157554	2003	Oct	10
2	2004-Jan	28780376	2004	Jan	1
3	2004-Apr	20442576	2004	Apr	4
4	2004-Jul	19934346	2004	Jul	7
5	2004-Oct	18519312	2004	Oct	10
6	2005-Jan	17534970	2005	Jan	1
7	2005-Apr	16159699	2005	Apr	4
8	2005-Jul	16180224	2005	Jul	7
9	2005-Oct	13801124	2005	Oct	10
10	2006-Jan	12585659	2006	Jan	1
11	2006-Apr	11732535	2006	Apr	4
12	2006-Jul	11455315	2006	Jul	7
13	2006-Oct	10474556	2006	Oct	10
14	2007-Jan	9408739	2007	Jan	1
15	2007-Apr	9047003	2007	Apr	4
16	2007-Jul	8927342	2007	Jul	7
17	2007-Oct	7147571	2007	Oct	10
18	2008-Jan	3063820	2008	Jan	1
19	2008-Apr	1352982	2008	Apr	4
20	2008-Jul	752080	2008	Jul	7
21	2008-Oct	342502	2008	Oct	10
22	2009-Jan	232735	2009	Jan	1
23	2009-Apr	154714	2009	Apr	4
24	2009-Jul	108065	2009	Jul	7
25	2009-Oct	70333	2009	Oct	10
26	2010-Jan	46774	2010	Jan	1
27	2010-Apr	31512	2010	Apr	4
28	2010-Jul	31125	2010	Jul	7
29	2010-Oct	29092	2010	Oct	10
30	2011-Jan	20963	2011	Jan	1
31	2011-Apr	16712	2011	Apr	4
32	2011-Jul	10497	2011	Jul	7
33	2011-Oct	7743	2011	Oct	10
34	2012-Jan	7666	2012	Jan	1
